#OTU ID	101	102	103	104	105	106	108	109	10	110	111	112	113	114	117	118	119	11	120	121	122	124	125	126	127	128	129	12	130	131	132	133	134	135	136	137	138	139	13	140	141	144	145	146	147	148	151	152	153	154	155	156	158	159	15	160	161	162	164	165	166	167	168	169	16	170	171	172	173	174	175	176	177	179	17	182	183	185	186	187	188	18	191	194	196	197	198	19	1	201	202	203	204	205	206	207	208	209	20	210	213	214	215	216	217	218	219	220	221	222	223	224	225	226	228	22	233	236	238	239	23	240	241	242	243	244	245	246	247	249	24	250	252	25	26	27	28	2	30	34	35	36	37	38	39	3	40	41	42	43	44	45	46	47	49	4	52	53	55	56	57	58	59	5	61	62	63	65	66	68	69	6	71	73	74	75	76	77	78	79	7	80	81	82	83	84	85	86	87	88	89	90	92	93	94	95	96	97	99	9	taxonomy
OTU_8058	6	7	20	1	0	5	0	3	1	0	4	3	1	1	5	0	1	1	4	0	5	4	2	4	0	1	2	0	0	4	3	4	4	1	0	1	1	3	0	0	0	4	1	1	1	1	0	0	0	0	0	0	4	0	2	0	0	1	0	0	1	0	1	0	1	0	3	0	1	2	1	0	0	4	1	1	0	2	3	0	0	1	0	0	0	1	0	0	2	1	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	5	1	2	2	0	0	0	1	1	0	1	2	0	1	0	1	5	2	0	2	2	4	1	1	0	1	3	15	1	2	0	0	0	0	0	1	0	1	1	1	1	2	3	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Corynebacteriales; D_4__Mycobacteriaceae; D_5__Mycobacterium
OTU_7152	9	16	3	0	2	2	0	13	3	0	1	0	0	1	2	0	0	4	1	0	1	3	2	4	0	2	0	4	3	2	3	0	2	1	0	0	2	1	2	2	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	1	2	0	3	0	0	0	0	1	0	1	1	2	0	1	1	1	3	1	3	0	2	3	3	3	8	21	15	1	0	0	0	0	0	3	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	2	2	5	1	0	4	1	0	0	0	0	1	0	2	3	0	1	0	1	0	2	0	2	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	D_0__Bacteria; D_1__Verrucomicrobia; D_2__OPB35 soil group; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_999	32	3	1	2	1	1	0	1	2	0	0	0	0	1	1	0	4	0	4	1	7	4	1	0	1	1	2	0	1	1	2	3	3	2	2	5	3	0	1	1	3	1	1	0	0	1	3	5	3	0	1	0	0	3	6	1	0	3	0	1	0	0	1	1	0	0	0	0	0	0	1	0	2	2	0	0	2	0	2	9	0	14	1	0	1	4	9	1	1	2	9	50	19	18	4	10	7	32	8	4	7	4	12	3	13	7	2	2	0	1	1	5	6	6	4	2	1	13	1	0	3	0	2	2	1	4	8	27	6	0	0	0	1	2	1	0	4	1	1	2	0	0	0	0	1	1	0	0	2	0	1	2	0	1	0	0	3	15	5	1	0	1	1	1	0	1	6	3	2	1	5	1	2	1	1	2	1	24	3	0	2	3	38	35	13	17	1	1	0	0	1	41	11	14	19	4	3	13	0	5	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfobacterales; D_4__Desulfobulbaceae; D_5__Desulfocapsa; D_6__uncultured bacterium
OTU_3650	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	3	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18	4	0	5	0	0	2	1	0	0	12	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidetes BD2-2
OTU_305	18	14	24	6	11	15	1	7	29	5	9	0	1	1	7	21	7	13	4	0	12	7	11	8	10	1	2	15	1	1	3	0	1	1	1	0	1	0	21	0	6	8	4	2	3	7	4	6	1	2	2	8	4	3	1	3	1	2	0	4	3	2	4	8	2	1	4	2	2	1	1	2	3	7	1	34	0	2	2	43	43	1	16	0	2	9	7	0	20	37	27	43	62	5	30	50	43	5	1	135	6	85	11	4	23	30	27	22	48	84	30	41	181	4	41	2	5	21	2	0	0	18	14	10	3	3	8	6	51	3	1	7	5	2	0	0	3	3	3	1	1	0	2	1	0	2	0	5	1	2	0	2	3	1	1	0	2	8	5	31	62	94	38	10	1	2	2	0	8	6	4	19	1	1	3	3	0	1	1	0	18	0	1	1	1	2	2	1	0	2	1	6	7	3	6	4	11	56	28	27	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Syntrophobacterales; D_4__Syntrophaceae; D_5__Syntrophus
OTU_11016	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	30	7	16	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Acidobacteria; D_2__Acidobacteria; D_3__Subgroup 18; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_13742	3	1	5	1	3	5	3	1	1	3	63	2	1	2	2	28	9	0	10	2	33	6	1	5	6	2	0	0	2	1	3	2	3	13	3	2	0	1	0	0	0	1	0	1	2	0	0	1	4	0	1	1	0	0	15	2	0	0	0	0	3	3	1	0	3	2	2	1	0	1	0	0	0	1	15	0	0	0	2	2	0	15	2	2	8	4	7	15	1	2	7	9	3	4	3	4	1	16	8	8	22	5	0	1	0	3	1	2	1	4	5	1	2	4	2	4	1	4	1	0	2	1	0	1	2	13	2	8	1	0	1	1	1	3	10	2	22	1	1	0	0	0	6	4	1	1	4	2	2	1	1	2	3	2	0	0	1	2	7	2	2	5	2	1	9	1	0	10	4	5	2	1	0	1	2	1	4	4	2	0	0	2	7	2	5	5	7	3	0	6	1	23	1	20	30	23	1	6	7	1	D_0__Bacteria; D_1__Proteobacteria; D_2__Betaproteobacteria; D_3__Burkholderiales; D_4__Comamonadaceae
OTU_4502	8	3	15	4	6	5	0	7	1	0	2	0	0	0	5	2	0	0	1	0	4	4	5	4	4	0	6	0	2	0	0	0	1	0	0	0	0	0	0	0	0	10	3	2	5	1	0	1	2	1	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	6	1	28	0	0	0	1	3	1	1	0	0	1	0	0	1	0	0	2	0	2	0	0	1	0	0	1	0	2	0	0	0	0	0	5	1	0	0	1	3	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	2	2	6	1	0	0	0	0	0	1	0	0	0	0	1	2	4	0	0	1	1	0	0	0	0	5	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Planctomycetes; D_2__Planctomycetacia; D_3__Planctomycetales; D_4__Planctomycetaceae; D_5__Pirellula; D_6__uncultured bacterium
OTU_5248	2	1	0	0	0	0	1	5	0	1	5	0	1	0	0	8	11	0	6	5	6	4	2	1	0	2	2	0	2	5	2	5	4	9	0	2	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	0	2	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	9	1	0	1	0	0	0	0	0	0	0	0	0	1	0	21	0	3	0	3	0	0	8	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Xanthomonadales; D_4__Xanthomonadaceae; D_5__Arenimonas
OTU_408	34	49	61	15	30	27	2	6	4	5	0	22	8	16	1	7	21	1	30	8	64	21	55	17	15	2	2	1	6	5	7	5	3	63	1	2	1	2	6	1	2	4	1	2	10	4	0	2	5	3	2	13	34	6	4	4	1	3	5	5	4	3	5	15	3	3	5	5	3	0	0	4	3	11	1	15	2	3	0	19	14	5	2	2	3	10	7	1	6	10	12	58	12	45	18	50	16	32	3	46	5	5	2	1	10	26	19	5	37	14	22	24	19	6	3	2	1	3	6	1	1	0	2	3	3	2	5	16	9	1	0	1	1	2	6	2	6	2	9	4	1	4	1	2	1	2	1	3	2	1	0	3	0	10	3	2	6	13	9	12	6	3	3	2	2	8	59	101	4	2	5	3	2	5	3	3	9	61	7	20	2	9	69	21	6	32	19	14	7	6	2	31	21	27	14	35	40	53	36	6	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfuromonadales; D_4__Geobacteraceae; D_5__Geoalkalibacter
