pathway	S10	S112	S113	S114	S11	S12	S13	S15	S161	S162	S164	S165	S166	S167	S168	S169	S16	S170	S171	S172	S173	S174	S175	S176	S177	S179	S17	S182	S187	S188	S18	S191	S194	S196	S197	S198	S19	S1	S201	S202	S203	S204	S205	S206	S207	S208	S209	S20	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225	S22	S23	S24	S25	S26	S27	S28	S2	S30	S34	S35	S36	S37	S3	S4	S5	S61	S62	S63	S65	S6	S7	S85	S86	S87	S88	S89	S9
CALVIN-PWY	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7143	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.7143	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.7143	0.0	0.0	0.0	2.7692	1.0	0.0	0.0	0.0	0.0	0.0
COA-PWY	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	1.0	0.0	3.0
COBALSYN-PWY	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0286	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0286	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0286	0.0	0.0	0.0	2.0377	1.0	0.0	0.0	0.0	0.0	0.0
COMPLETE-ARO-PWY	0.0	1.0667	1.0667	1.0667	1.0667	0.0	0.0	1.1429	0.0	0.0	0.0	0.0	0.0	0.0	1.1429	1.1429	1.0667	0.0	0.0	1.0667	0.0	1.0667	0.0	0.0	0.0	0.0	0.0	1.1429	0.0	0.0	0.0	0.0	0.0	0.0	2.1818	0.0	1.0667	0.0	0.0	1.0667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1429	0.0	1.0667	0.0	0.0	0.0	1.1429	1.1429	0.0	0.0	1.1429	0.0	1.0667	2.1818	1.0667	0.0	0.0	2.1333	2.2857	2.2857	2.2857	3.4286	1.0667	0.0	0.0	0.0	0.0	1.1429	1.1429	1.0667	0.0	2.1818	0.0	0.0	0.0	3.2653	1.0667	1.1429	0.0	1.1429	0.0	3.4286
DAPLYSINESYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0588	0.0	0.0	0.0	0.0	0.0	0.0	1.0588	1.0588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0588	0.0	0.0	0.0	0.0	0.0	0.0	2.0769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0588	0.0	0.0	0.0	0.0	0.0	1.0588	1.0588	0.0	0.0	1.0588	0.0	0.0	2.0769	0.0	0.0	0.0	0.0	2.1176	2.1176	2.1176	3.1765	0.0	0.0	0.0	0.0	0.0	1.0588	1.0588	0.0	0.0	2.0769	0.0	0.0	0.0	2.8125	0.0	1.0588	0.0	1.0588	0.0	3.1765
DENOVOPURINE2-PWY	0.0	1.122	1.122	1.122	1.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.122	0.0	0.0	1.122	0.0	1.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0175	0.0	1.122	0.0	0.0	1.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.122	2.0175	1.122	0.0	0.0	2.2439	0.0	0.0	0.0	0.0	1.122	0.0	0.0	0.0	0.0	0.0	0.0	1.122	0.0	2.0175	0.0	0.0	0.0	3.1822	1.122	0.0	0.0	0.0	0.0	0.0
DTDPRHAMSYN-PWY	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.1429	0.0	0.0	0.0	0.0	0.0	0.0	1.1429	1.1429	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.1429	0.0	0.0	0.0	0.0	0.0	0.0	2.1818	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1429	0.0	1.0	0.0	0.0	0.0	1.1429	1.1429	0.0	0.0	1.1429	0.0	1.0	2.1818	1.0	0.0	0.0	2.0	2.2857	2.2857	2.2857	3.4286	1.0	0.0	0.0	0.0	0.0	1.1429	1.1429	1.0	0.0	2.1818	0.0	0.0	0.0	3.2	1.0	1.1429	0.0	1.1429	0.0	3.4286
FAO-PWY	0.0	1.0909	1.0909	1.0909	1.0909	0.0	0.0	1.5652	0.0	0.0	0.0	0.0	0.0	0.0	1.5652	1.5652	1.0909	0.0	0.0	1.0909	0.0	1.0909	0.0	0.0	0.0	0.0	0.0	1.5652	0.0	0.0	0.0	0.0	0.0	0.0	2.7692	0.0	1.0909	0.0	0.0	1.0909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5652	0.0	1.0909	0.0	0.0	0.0	1.5652	1.5652	0.0	0.0	1.5652	0.0	1.0909	2.7692	1.0909	0.0	0.0	2.1818	3.1304	3.1304	3.1304	4.6957	1.0909	0.0	0.0	0.0	0.0	1.5652	1.5652	1.0909	0.0	2.7692	0.0	0.0	0.0	3.913	1.0909	1.5652	0.0	1.5652	0.0	4.6957
FASYN-ELONG-PWY	0.0	1.2	1.2	1.2	1.2	0.0	0.0	1.4118	0.0	0.0	0.0	0.0	0.0	0.0	1.4118	1.4118	1.2	0.0	0.0	1.2	0.0	1.2	0.0	0.0	0.0	0.0	0.0	1.4118	0.0	0.0	0.0	0.0	0.0	0.0	2.6667	0.0	1.2	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4118	0.0	1.2	0.0	0.0	0.0	1.4118	1.4118	0.0	0.0	1.4118	0.0	1.2	2.6667	1.2	0.0	0.0	2.4	2.8235	2.8235	2.8235	4.2353	1.2	0.0	0.0	0.0	0.0	1.4118	1.4118	1.2	0.0	2.6667	0.0	0.0	0.0	3.8919	1.2	1.4118	0.0	1.4118	0.0	4.2353
FASYN-INITIAL-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1538	0.0	0.0	0.0	0.0	0.0	0.0	1.1538	1.1538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1538	0.0	0.0	0.0	0.0	0.0	0.0	1.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1538	0.0	0.0	0.0	0.0	0.0	1.1538	1.1538	0.0	0.0	1.1538	0.0	0.0	1.6667	0.0	0.0	0.0	0.0	2.3077	2.3077	2.3077	3.4615	0.0	0.0	0.0	0.0	0.0	1.1538	1.1538	0.0	0.0	1.6667	0.0	0.0	0.0	1.8908	0.0	1.1538	0.0	1.1538	0.0	3.4615
FERMENTATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4545	0.0	0.0	0.0	1.9726	0.0	0.0	0.0	0.0	0.0	0.0
FOLSYN-PWY	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.1077	0.0	0.0	0.0	0.0	0.0	0.0	1.1077	1.1077	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.1077	0.0	0.0	0.0	0.0	0.0	0.0	2.1386	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1077	0.0	1.0	0.0	0.0	0.0	1.1077	1.1077	0.0	0.0	1.1077	0.0	1.0	2.1386	1.0	0.0	0.0	2.0	2.2154	2.2154	2.2154	3.3231	1.0	0.0	0.0	0.0	0.0	1.1077	1.1077	1.0	0.0	2.1386	0.0	0.0	0.0	3.1533	1.0	1.1077	0.0	1.1077	0.0	3.3231
GLUCONEO-PWY	0.0	1.1429	1.1429	1.1429	1.1429	0.0	0.0	1.0909	0.0	0.0	0.0	0.0	0.0	0.0	1.0909	1.0909	1.1429	0.0	0.0	1.1429	0.0	1.1429	0.0	0.0	0.0	0.0	0.0	1.0909	0.0	0.0	0.0	0.0	0.0	0.0	1.8677	0.0	1.1429	0.0	0.0	1.1429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0909	0.0	1.1429	0.0	0.0	0.0	1.0909	1.0909	0.0	0.0	1.0909	0.0	1.1429	1.8677	1.1429	0.0	0.0	2.2857	2.1818	2.1818	2.1818	3.2727	1.1429	0.0	0.0	0.0	0.0	1.0909	1.0909	1.1429	0.0	1.8677	0.0	0.0	0.0	3.0854	1.1429	1.0909	0.0	1.0909	0.0	3.2727
GLUTORN-PWY	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.1111	0.0	0.0	0.0	0.0	0.0	0.0	1.1111	1.1111	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.1111	0.0	0.0	0.0	0.0	0.0	0.0	2.1429	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1111	0.0	1.0	0.0	0.0	0.0	1.1111	1.1111	0.0	0.0	1.1111	0.0	1.0	2.1429	1.0	0.0	0.0	2.0	2.2222	2.2222	2.2222	3.3333	1.0	0.0	0.0	0.0	0.0	1.1111	1.1111	1.0	0.0	2.1429	0.0	0.0	0.0	3.1579	1.0	1.1111	0.0	1.1111	0.0	3.3333
GLYCOGENSYNTH-PWY	0.0	1.1111	1.1111	1.1111	1.1111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1111	0.0	0.0	1.1111	0.0	1.1111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	1.1111	0.0	0.0	1.1111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1111	1.25	1.1111	0.0	0.0	2.2222	0.0	0.0	0.0	0.0	1.1111	0.0	0.0	0.0	0.0	0.0	0.0	1.1111	0.0	1.25	0.0	0.0	0.0	2.4	1.1111	0.0	0.0	0.0	0.0	0.0
GLYCOLYSIS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	1.9853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	1.08	1.08	0.0	0.0	1.08	0.0	0.0	1.9853	0.0	0.0	0.0	0.0	2.16	2.16	2.16	3.24	0.0	0.0	0.0	0.0	0.0	1.08	1.08	0.0	0.0	1.9853	0.0	0.0	0.0	2.6923	0.0	1.08	0.0	1.08	0.0	3.24
GLYCOLYSIS-E-D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0541	0.0	0.0	0.0	0.0	0.0	0.0	1.0541	1.0541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0541	0.0	0.0	0.0	0.0	0.0	0.0	1.6183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0541	0.0	0.0	0.0	0.0	0.0	1.0541	1.0541	0.0	0.0	1.0541	0.0	0.0	1.6183	0.0	0.0	0.0	0.0	2.1081	2.1081	2.1081	3.1622	0.0	0.0	0.0	0.0	0.0	1.0541	1.0541	0.0	0.0	1.6183	0.0	0.0	0.0	1.9472	0.0	1.0541	0.0	1.0541	0.0	3.1622
GLYCOLYSIS-TCA-GLYOX-BYPASS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8399	0.0	0.0	0.0	2.4514	0.0	0.0	0.0	0.0	0.0	0.0
GLYOXYLATE-BYPASS	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.3333	1.0	0.0	0.0	2.0	2.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.3333	0.0	0.0	0.0	2.4	1.0	1.0	0.0	1.0	0.0	3.0
HEME-BIOSYNTHESIS-II	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.3333	1.0	0.0	0.0	2.0	2.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.3333	0.0	0.0	0.0	2.4	1.0	1.0	0.0	1.0	0.0	3.0
HEMESYN2-PWY	0.0	1.1429	1.1429	1.1429	1.1429	0.0	0.0	1.1429	0.0	0.0	0.0	0.0	0.0	0.0	1.1429	1.1429	1.1429	0.0	0.0	1.1429	0.0	1.1429	0.0	0.0	0.0	0.0	0.0	1.1429	0.0	0.0	0.0	0.0	0.0	0.0	2.2857	0.0	1.1429	0.0	0.0	1.1429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1429	0.0	1.1429	0.0	0.0	0.0	1.1429	1.1429	0.0	0.0	1.1429	0.0	1.1429	2.2857	1.1429	0.0	0.0	2.2857	2.2857	2.2857	2.2857	3.4286	1.1429	0.0	0.0	0.0	0.0	1.1429	1.1429	1.1429	0.0	2.2857	0.0	0.0	0.0	3.4286	1.1429	1.1429	0.0	1.1429	0.0	3.4286
HISDEG-PWY	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
HISTSYN-PWY	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0769	0.0	0.0	0.0	0.0	0.0	0.0	1.0769	1.0769	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0769	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0769	0.0	1.0	0.0	0.0	0.0	1.0769	1.0769	0.0	0.0	1.0769	0.0	1.0	2.1	1.0	0.0	0.0	2.0	2.1538	2.1538	2.1538	3.2308	1.0	0.0	0.0	0.0	0.0	1.0769	1.0769	1.0	0.0	2.1	0.0	0.0	0.0	3.1111	1.0	1.0769	0.0	1.0769	0.0	3.2308
HOMOSER-METSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	1.6364	0.0	0.0	0.0	0.0	0.0	0.0
